matrix,dimension,repeat,steps,dense_frechet_seconds,direct_replay_seconds,dense_over_direct,probability_absolute_error,gradient_l2_error
Si2,769.0,0.0,14.0,6.5123716669999965,0.011407750000003603,570.8725793428099,8.157537145780935e-15,7.704924098357435e-14
Si2,769.0,1.0,14.0,6.932628792000003,0.00973866700000059,711.8662946376114,8.153200337090993e-15,7.705715996969114e-14
Si2,769.0,2.0,14.0,6.492579959000004,0.01046933300000319,620.1522063533586,8.157537145780935e-15,7.704924098357435e-14
Si2,769.0,3.0,14.0,7.099776042000002,0.009211166000000048,770.7792956939398,8.157537145780935e-15,7.704924098357435e-14
Si2,769.0,4.0,14.0,8.08656654100001,0.013621083999993289,593.6801021859931,8.157537145780935e-15,7.704924098357435e-14
Si2,769.0,5.0,14.0,6.777490125,0.009263666999999032,731.6206557296056,8.153200337090993e-15,7.705715996969114e-14
Si2,769.0,6.0,14.0,6.608019333999991,0.009567416999999523,690.6795568752068,8.157537145780935e-15,7.704924098357435e-14
